Time,Label,Frame
57.78,a1.png,3467
59.664,a2.png,3580
61.656,a3.png,3699
63.652,a4.png,3819
65.66,a5.png,3940
69.848,a6.png,4191
71.94,a7.png,4316
73.98,a8.png,4439
76,a9.png,4560
78.124,a10.png,4687
80.148,a11.png,4809
82.364,a12.png,4942
84.428,a13.png,5066
86.512,a14.png,5191
88.568,a15.png,5314
90.592,a16.png,5436
92.644,a17.png,5559
94.708,a18.png,5682
96.812,a19.png,5809
98.932,a20.png,5936
101.04,a21.png,6062
103.116,a22.png,6187
105.176,a23.png,6311
107.204,a24.png,6432
109.212,a25.png,6553
111.32,a26.png,6679
113.364,a27.png,6802
115.404,a28.png,6924
117.444,a29.png,7047
119.536,a30.png,7172
121.576,a31.png,7295
123.624,a32.png,7417
125.68,a33.png,7541
127.732,a34.png,7664
129.812,a35.png,7789
131.944,a36.png,7917
134.128,a37.png,8048
136.204,a38.png,8172
138.264,a39.png,8296
140.408,a40.png,8424
142.496,a41.png,8550
144.532,a42.png,8672
146.636,a43.png,8798
148.72,a44.png,8923
150.788,a45.png,9047
152.8,a46.png,9168
154.9,a47.png,9294
156.94,a48.png,9416
158.896,a49.png,9534
161.056,a50.png,9663
163.08,a51.png,9785
165.032,a52.png,9902
167.132,a53.png,10028
169.152,a54.png,10149
171.256,a55.png,10275
173.352,a56.png,10401
175.376,a57.png,10523
177.46,a58.png,10648
179.536,a59.png,10772
181.596,a60.png,10896
183.676,a61.png,11021
185.736,a62.png,11144
187.864,a63.png,11272
189.936,a64.png,11396
192.008,a65.png,11520
194.056,a66.png,11643
196.188,a67.png,11771
198.272,a68.png,11896
200.432,a69.png,12026
202.544,a70.png,12153
204.628,a71.png,12278
206.732,a72.png,12404
208.84,a73.png,12530
210.98,a74.png,12659
213.076,a75.png,12785
215.196,a76.png,12912
217.248,a77.png,13035
219.284,a78.png,13157
221.372,a79.png,13282
223.516,a80.png,13411
225.576,a81.png,13535
227.592,a82.png,13656
229.7,a83.png,13782
231.776,a84.png,13907
233.916,a85.png,14035
235.988,a86.png,14159
238.168,a87.png,14290
240.308,a88.png,14418
242.36,a89.png,14542
244.452,a90.png,14667
246.572,a91.png,14794
248.64,a92.png,14918
250.836,a93.png,15050
252.984,a94.png,15179
255.076,a95.png,15305
257.176,a96.png,15431
259.34,a97.png,15560
261.38,a98.png,15683
263.496,a99.png,15810
265.62,a100.png,15937
280.344,i1.png,16821
282.356,i2.png,16941
284.364,i3.png,17062
286.384,i4.png,17183
288.488,i5.png,17309
290.556,i6.png,17433
292.584,i7.png,17555
294.672,i8.png,17680
296.708,i9.png,17802
298.72,i10.png,17923
300.8,i11.png,18048
302.896,i12.png,18174
305.004,i13.png,18300
307.076,i14.png,18425
309.08,i15.png,18545
311.072,i16.png,18664
313.124,i17.png,18787
315.196,i18.png,18912
317.26,i19.png,19036
319.34,i20.png,19160
321.344,i21.png,19281
323.428,i22.png,19406
325.476,i23.png,19529
327.496,i24.png,19650
329.56,i25.png,19774
331.608,i26.png,19896
333.636,i27.png,20018
335.744,i28.png,20145
337.808,i29.png,20268
339.88,i30.png,20393
341.9,i31.png,20514
343.932,i32.png,20636
346.012,i33.png,20761
348.032,i34.png,20882
350.12,i35.png,21007
352.116,i36.png,21127
354.184,i37.png,21251
356.308,i38.png,21378
358.324,i39.png,21499
360.284,i40.png,21617
362.336,i41.png,21740
364.4,i42.png,21864
366.42,i43.png,21985
368.508,i44.png,22110
370.64,i45.png,22238
372.708,i46.png,22362
374.748,i47.png,22485
376.768,i48.png,22606
378.848,i49.png,22731
380.912,i50.png,22855
382.964,i51.png,22978
385.096,i52.png,23106
387.16,i53.png,23230
389.192,i54.png,23352
391.26,i55.png,23476
393.368,i56.png,23602
395.48,i57.png,23729
397.572,i58.png,23854
399.732,i59.png,23984
401.816,i60.png,24109
403.824,i61.png,24229
405.968,i62.png,24358
408.028,i63.png,24482
410.12,i64.png,24607
412.212,i65.png,24733
414.264,i66.png,24856
416.4,i67.png,24984
418.512,i68.png,25111
420.596,i69.png,25236
422.568,i70.png,25354
424.704,i71.png,25482
426.828,i72.png,25610
428.892,i73.png,25734
430.904,i74.png,25854
432.944,i75.png,25977
434.956,i76.png,26097
437.008,i77.png,26220
439.084,i78.png,26345
441.092,i79.png,26466
443.18,i80.png,26591
445.216,i81.png,26713
447.328,i82.png,26840
449.376,i83.png,26963
451.412,i84.png,27085
453.528,i85.png,27212
455.5,i86.png,27330
457.548,i87.png,27453
459.628,i88.png,27578
461.652,i89.png,27699
463.748,i90.png,27825
465.712,i91.png,27943
467.748,i92.png,28065
469.792,i93.png,28188
471.856,i94.png,28311
473.86,i95.png,28432
475.964,i96.png,28558
478.008,i97.png,28680
480.076,i98.png,28805
482.088,i99.png,28925
484.144,i100.png,29049
532.508,u1.png,31950
534.4,u2.png,32064
536.388,u3.png,32183
538.384,u4.png,32303
540.404,u5.png,32424
542.36,u6.png,32542
544.372,u7.png,32662
546.404,u8.png,32784
548.428,u9.png,32906
